TYPOLOGY,CONTINENT,COUNTRY,REGIONE 1,CITTÀ ,NAT-REG-LOC,SOSPECTED CAUSE,DECLARED CAUSE,DEMOCRACY INDEX,GOVERNMENT,DURATION IN DAYS,START DATE,FREEDOM INDEX ,STATUS,FONTI PRIMARIE,FONTI SECONDARIE,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,6/21/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence-june-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,6/27/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence-june-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,7/1/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-july-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,7/7/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-july-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,"Baghdad, Basra",None,Regional,Protest/Clashes,Nothing Declared,4.06,Hybrid Regime,2,7/14/2018,11,Not Free,https://netblocks.org/reports/study-shows-extent-of-iraq-internet-shutdown-and-social-media-restrictions-during-protests-zPyXjzAE,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,7/17/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-july-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,9/4/2018,11,Not Free,https://www.accessnow.org/iraq-imposes-internet-curfew-for-school-exams-but-says-it-has-no-intention-to-cut-internet/,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,9/5/2018,11,Not Free,https://www.accessnow.org/iraq-imposes-internet-curfew-for-school-exams-but-says-it-has-no-intention-to-cut-internet/,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,10/14/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-october-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,10/15/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-october-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,10/16/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-october-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,<1,10/17/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-october-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,None,None,National,School Exams,School Exams,4.06,Hybrid Regime,2,10/20/2018,11,Not Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence%3a-october-2018,,,,,,,,,,,
Not Technical,Asia,Iraq,"Baghdad, Basra, Kirkuk",None,Regional,Protest/Clashes,Information Control,4.06,Hybrid Regime,2,7/15/2018,11,Not Free,https://netblocks.org/reports/study-shows-extent-of-iraq-internet-shutdown-and-social-media-restrictions-during-protests-zPyXjzAE,,,,,,,,,,,
Not Technical,Asia,Iraq,Basra,None,Regional,Protest/Clashes,School Exams,4.06,Hybrid Regime,<1,9/2/2018,11,Not Free,freedom of the net 2018 and Economist Intelligence Unit,https://twitter.com/btayeg/status/1037643621690945536?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1051878233761861633&ref_url=https%3A%2F%2Fnetblocks.org%2Freports%2Firaq-shuts-down-internet-to-prevent-cheating-in-national-science-exams-gBLk94A4,,,,,,,,,,
Not Technical,Asia,Pakistan,None,None,National,No Data,Celebration,4.17,Hybrid Regime,1,9/6/2018,9,Partially Free,https://digitalrightsmonitor.pk,https://bytesforall.pk,,,,,,,,,,
Not Technical,Asia,Pakistan,None,None,National,No Data,Celebration,4.17,Hybrid Regime,3,9/19/2018,9,Partially Free,https://bytesforall.pk,,,,,,,,,,,
Not Technical,Asia,Pakistan,None,None,Local,Sabotage,Political Events,4.17,Hybrid Regime,10,7/21/2018,9,Partially Free,The diplomat,,,,,,,,,,,
Not Technical,Asia,Pakistan,Lahore,None,Regional,No Data,Military Operation,4.17,Hybrid Regime,1,7/13/2018,9,Partially Free,https://bytesforall.pk,,,,,,,,,,,
Not Technical,Asia,Pakistan,None,Islamabad,Local,No Data,Celebration,4.17,Hybrid Regime,1,3/23/2018,9,Partially Free,https://bytesforall.pk,,,,,,,,,,,
Not Technical,Asia,Pakistan,None,Islamabad,Local,Information control,Public Safety,4.17,Hybrid Regime,1,2/26/2018,9,Partially Free,Digital right foundation,,,,,,,,,,,
Not Technical,Asia,Pakistan,None,None,National,No Data,Celebration,4.17,Hybrid Regime,1,11/21/2018,9,Partially Free,https://bytesforall.pk,,,,,,,,,,,
Not Technical,Asia,Pakistan,None,"Islamabad, Lahore",Local,Protest/Clashes,Public Safety,4.17,Hybrid Regime,1,11/1/2018,9,Partially Free,freedom of the net 2018 and Economist Intelligence Unit,,,,,,,,,,,
Not Technical,Asia,Pakistan,None,None,Regional,Celebration,Public Safety,4.17,Hybrid Regime,2,10/30/2018,9,Partially Free,freedom of the net 2018 and Economist Intelligence Unit,,,,,,,,,,,
Not Technical,Asia,Pakistan,Pashustian,None,Regional,Protest/Clashes,Public Safety,4.17,Hybrid Regime,Unknown,10/28/2018,9,Partially Free,freedom of the net 2018 and Economist Intelligence Unit,,,,,,,,,,,
Not Technical,Asia,Bangladesh,None,Dhaka,Local,Protest/Clashes,Public Safety,5.57,Hybrid Regime,1,8/5/2018,8,Partially Free,freedom of the net 2018 and Economist Intelligence Unit,https://www.bbc.com/news/world-asia-45080129,,,,,,,,,,
Not Technical,Asia,Bangladesh,None,None,National,Political Events,Information Control,5.57,Hybrid Regime,1,12/29/2018,8,Partially Free,freedom of the net 2018 and Economist Intelligence Unit,https://www.aljazeera.com/news/2018/12/bangladesh-shuts-mobile-internet-lead-election-day-181229111353218.html,,,,,,,,,,
Not Technical,Asia,Bangladesh,None,None,National,School Exams,School Exams,5.57,Hybrid Regime,<1,2/11/2018,8,Partially Free,freedom of the net 2018 and Economist Intelligence Unit,http://www.dhakatribune.com/business/regulations/2018/02/12/govt-withdraws-internet-services/,,,,,,,,,,
Technical,Africa,Sierra Leone,None,None,National,Damage To The Cable,Damage To The Cable,4.66,Hybrid Regime,<1,4/1/2018,6,Partially Free,Access now ed Economist Intellicence Unit,https://dyn.com/blog/ace-submarine-cable-cut-impacts-ten-countries/,,,,,,,,,,
Technical,Africa,Sierra Leone,None,None,National,Damage To The Cable,Damage To The Cable,4.66,Hybrid Regime,2,11/8/2018,6,Partially Free,https://blogs.oracle.com/internetintelligence/last-month-in-internet-intelligence-november-2018,,,,,,,,,,,
Not Technical,Africa,Cote D'Ivoire,None,None,National,Sabotage,Sabotage,4.15,Hybrid Regime,2,4/30/2018,8,Partially Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Africa,Sierra Leone,None,None,National,Information Control,Political Events,4.66,Hybrid Regime,1,3/31/2018,6,Partially Free,Access now ed Economist Intellicence Unit,https://www.africanews.com/2018/04/01/why-sierra-leone-temporarily-shutdown-internet-after-runoff-vote/,,,,,,,,,,
Not Technical,Africa,Mali,None,None,National,Protest/Clashes,Nothing Declared,5.41,Hybrid Regime,Unknown,6/4/2018,9,Partially Free,Access now ed Economist Intellicence Unit,,,,,,,,,,,
Not Technical,Africa,Mali,None,None,National,Political Events,Nothing Declared,5.41,Hybrid Regime,<1,8/16/2018,9,Partially Free,https://internetintel.oracle.com/blog-single.html?id=Last+Month+In+Internet+Intelligence:+August+2018,,,,,,,,,,,
Unknown,Asia,Buthan,None,None,National,No Data,No Data,5.3,Hybrid Regime,1,7/12/2018,5,Partially Free,https://dyn.com/blog/last-month-in-internet-intelligence-july-2018/,,,,,,,,,,,
Unknown,Asia,Buthan,None,None,National,No Data,No Data,5.3,Hybrid Regime,1,7/17/2018,5,Partially Free,https://dyn.com/blog/last-month-in-internet-intelligence-july-2018/,,,,,,,,,,,
Not Technical,Africa,Nigeria,None,None,Local,Information Control,Information Control,4.44,Hybrid regime,Unknown,2018,8,Partially Free,"Accessnow, Economist Intelligence Unit",https://www.accessnow.org/cms/assets/uploads/2019/06/KIO-Report-final.pdf,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
