Number;Name;Date;Source;Type of source;Type of Content
1;Meme - Wikipedia;NA;https://it.wikipedia.org/wiki/Meme;Reference;Definition
2;Meme (Internet) - Wikipedia;NA;https://it.wikipedia.org/wiki/Meme_(Internet);Reference;Definition
3;Come Kylie Jenner sta monetizzando un meme involontario;24/10/19;https://www.esquire.com/it/lifestyle/tecnologia/a29559636/kylie-jenner-meme/;Blog;Explanation
4;La rivoluzione libanese: tra le fiamme e i meme;26/10/19;https://www.ilcaffegeopolitico.org/112987/la-rivoluzione-libanese-tra-le-fiamme-e-i-meme;News;Explanation
5;Roma, oltre il danno anche la beffa: irridente meme del M'Gladbach sul rigore (inesistente) a favore;25/10/19;https://www.fantacalcio.it/news/calcio-estero/25_10_2019/roma-oltre-il-danno-anche-la-beffa-irridente-meme-del-mgladbach-sul-rigore-inesistente-a-favore-375017;News;Explanation
6;Cosa sono i meme? - FASTWEB;25/11/19;https://www.fastweb.it/web-e-digital/meme-cos-e-storia/;Blog;Definition
7;Meme: significato della parola e origine;NA;https://tecnologia.libero.it/che-cosa-significa-la-parola-meme-13249;News;Definition
8;Cos’è un internet meme: la spiegazione;NA;https://www.iltuocruciverba.com/cose-un-internet-meme-la-spiegazione/;News;Definition
9;meme in Vocabolario - Treccani;NA;http://www.treccani.it/vocabolario/meme_%28Neologismi%29/;Vocabulary;Definition
10;Meme Generator - Imgflip;NA;https://imgflip.com/memegenerator;Meme generator/archive;Creator
11;Meme: cosa sono e perché si chiamano così - Semplice come;23/11/18;https://semplicecome.it/meme-cosa-sono/;Blog;Definition
12;Cosa sono i meme e come si diffondono in rete - sociale.it;27/04/15;https://www.sociale.it/2015/04/27/cosa-sono-meme-e-come-si-diffondono-rete/;Blog;Definition
13;9GAG Meme;26/05/15;https://9gag.com/meme;Blog;Explanation
14;Come Kylie Jenner sta monetizzando un meme involontario;24/10/19;https://www.esquire.com/it/lifestyle/tecnologia/a29559636/kylie-jenner-meme/;Blog;Explanation
15;Il meme che sta facendo (ri)nascere il Molise - Agi;26/10/19;https://www.agi.it/cronaca/molise_meme_regione-6423707/news/2019-10-26/;News;Explanation
16;Learn React by Building a Meme Generator;23/10/19;https://www.freecodecamp.org/news/learn-react-by-building-a-meme-generator/;Blog;Creation
17;Generatore gratuito di meme: crea il tuo meme con il ...;NA;https://spark.adobe.com/it-IT/make/meme-maker/;Meme generator/archive;Creator
18;A proposito di virale e meme | Accademia della Crusca;08/08/14;http://www.accademiadellacrusca.it/it/lingua-italiana/consulenza-linguistica/domande-risposte/proposito-virale-meme;Reference;Definition
19;MEME - Home | Facebook;NA;https://www.facebook.com/memekeramikou28/;Social Network;Account
20;Significato meme e come sfruttarli sui social | Blog di Vestudio;26/10/17;https://www.blog.vestudio.it/significato-meme/;Blog;Definition
21;QUESTI SONO I MIGLIORI MEME DEL MESE;08/07/19;https://www.youtube.com/watch?v=_zIJybFyXh4;Social Network;Audiovisual
22;IL MEME PIU' DIVERTENTE DI SEMPRE;28/06/19;https://www.youtube.com/watch?v=agfSE2C4pxM;Social Network;Audiovisual
23;meme - Wikizionario;NA;https://it.wiktionary.org/wiki/meme;Reference;Definition
24;La guerra dei meme. Fenomenologia di uno ... - Amazon.it;06/11/17;https://www.amazon.it/guerra-meme-Fenomenologia-scherzo-infinito/dp/8898837445;Shopping;Product
25;MEMEDESIGN: Nuovo / Propositivo / Contemporaneo;NA;https://memedesign.it;Shopping;Product
26;Memes | Know Your Meme;22/08/19;https://knowyourmeme.com/memes/memes;Reference;Definition
27;Che cos'è un meme? - Focus Junior;13/05/17;https://www.focusjunior.it/tecnologia/che-cose-un-meme/;Reference;Definition
28;Meme - BE YOU;NA;https://www.be-you.it/meme/;Shopping;Product
29;"""Quello sono io!"". Il tizio del meme più famoso di Internet esce ...";26/09/19;https://www.huffingtonpost.it/entry/quello-sono-io-il-tizio-del-meme-piu-famoso-di-internet-viene-allo-scoperto-e-lo-fa-per-unottima-ragione_it_5d8c75a9e4b0e9e760477f0c;News;Explanation
30;Meme Appetit (@meme_appetit) • Instagram photos and videos;NA;https://www.instagram.com/meme_appetit/;Social Network;Account
31;What is a meme? | Sprout Social;NA;https://sproutsocial.com/glossary/meme/;Reference;Definition
32;Here's Why the Joker Dancing Meme Is All Over Your Timeline;24/10/19;https://www.vulture.com/2019/10/joker-dancing-meme.html;News;Explanation
33;«Fatti brutta o ti uccido», il meme della vergogna: nei social si ...;19/10/19;https://www.ilmessaggero.it/mind_the_gap/rovigo_copriti_o_ti_uccico_meme_lo_coco_lazzari-4807518.html;News;Explanation
34;Teen girls on TikTok are dancing to abusive voicemails. The ...;25/10/19;https://www.theguardian.com/technology/2019/oct/25/teen-girls-on-tiktok-are-dancing-to-abuse-the-new-meme-is-as-old-as-womens-rage-itself;News;Explanation
35;MEME | Mobility European Master in Evolution;14/10/19;https://www.evobio.eu;Shopping;Product
36;Paul Rudd has spawned a new meme celebrating friendly ...;25/10/19;https://news.avclub.com/paul-rudd-has-spawned-a-new-meme-celebrating-friendly-b-1839356407;News;Explanation
37;ottica meme: Occhiali e accessori insoliti a Calcinelli di Colli al ...;NA;https://otticameme.it;Shopping;Product
38;Meme | Definition of Meme by Lexico;NA;https://www.lexico.com/en/definition/meme;Reference;Definition
39;Hong Kong protesters used Pepe the Frog meme for hope, not ...;25/10/19;https://www.businessinsider.com/pepe-frog-meme-hate-symbol-hope-hong-kong-protesters-2019-10?IR=T;News;Explanation
40;MEMESIS: COMUNITÀ E AUTO-DEFINIZIONE NELL’ERA DEI MEME;NA;http://digicult.it/it/internet/memesis-community-and-self-definition-in-the-age-of-memes/;Article;Definition
41;Meme, definition, history & facts;26/10/19;https://www.britannica.com/topic/meme;Article;Definition
42;The Dance of Freedom. The Death Bells. The Meme-ing of the Joker.;24/10/19;https://www.vulture.com/2019/10/joker-dancing-meme.html;News;Explanation
43;Meme architets LLP;NA;https://www.memearchitects.co.uk/;Shopping;Product
44;Meme definizione significato;NA;https://dictionary.cambridge.org/it/dizionario/inglese/meme;Vocabulary;Definition
45;Meme, parma ristorazione;NA;https://www.tripadvisor.it/Restaurant_Review-g187804-d14209009-Reviews-Meme-Parma_Province_of_Parma_Emilia_Romagna.html;Shopping;Product
46;Meme, traduzione in italiano;NA;https://context.reverso.net/traduzione/spagnolo-italiano/meme;Vocabulary;Definition
47;How meme culture changed the PSAT;10/20/2019;https://arstechnica.com/gaming/2019/10/how-meme-culture-changed-the-psat/;Article;Explanation
48;Meme | Definition of Meme by Merriam-Webster;24/10/19;https://www.merriam-webster.com/dictionary/meme;Vocabulary;Definition
49;MeMe Cocktails – un servizio di bartending itinerante rivolto a …;NA;https://www.memecocktails.com/;Shopping;Product
50;Halloween Costume Ideas of Famous Memes | PEOPLE.com;24/10/19;https://people.com/lifestyle/halloween-costume-ideas-from-memes/;Article;Humor
51;Memes - Facciabuco.com;NA;https://www.facciabuco.com/post/memes/;Blog;Humor
52;Memes | Latest News, Photos & Videos | WIRED;24/10/19;https://www.wired.com/story/joker-stairs-meme-tourism/;News;Explanation
53;I migliori meme sulla crisi politica gialloverde e le ... - Euronews;22/08/19;https://it.euronews.com/2019/08/22/i-migliori-meme-sulla-crisi-politica-gialloverde-e-le-consultazioni-al-quirinale;News;Humor
54;Journo's holiday photo turned into meme for alcohol-free …;25/10/19;https://www.nst.com.my/news/nation/2019/10/533302/journos-holiday-photo-turned-meme-alcohol-free-deepavali;News;Explanation
55;Scarica le migliori 5 app per creare meme con il tuo smartphone;NA;https://blog.linkem.com/app-creare-meme-smartphone/;Article;Explanation
56;Richa Chadha's Diwali safai meme from Gangs of Wasseypur …;24/10/19;https://www.indiatoday.in/movies/celebrities/story/richa-chadha-s-diwali-safai-meme-from-gangs-of-wasseypur-is-hilarious-the-actress-agrees-1612948-2019-10-25;Article;Explanation
57;Home - Me.Me. colture&culture;NA;http://meme.venezia.it/;Shopping;Product
58;"15 More Hilarious Paul Rudd ""Look At Us"" Memes For Anyone …";24/10/19;https://www.buzzfeed.com/morganmurrell/paul-rudd-look-at-us;Article;Humor
59;Future Is A Meme-Again! - The Shade Room;24/10/19;https://theshaderoom.com/future-is-a-meme-again/;News;Explanation
60;You cheated not only the game, but you became a meme ...;12/04/19;https://www.bbc.com/news/technology-47900904;News;Explanation
61;Smriti Irani's Baazigar Meme On Diwali Has Internet In Splits;27/10/19;https://www.ndtv.com/offbeat/smriti-iranis-baazigar-meme-on-diwali-has-internet-in-splits-2123166;News;Explanation
62;Man Fired Over Posting Meme About Pooping While on ...;26/10/19;https://www.dailydot.com/unclick/man-fired-pooping-meme/;News;Explanation
63;La guerra dei meme. Fenomenologia di uno scherzo infinito.;NA;https://www.effequ.it/la-guerra-dei-meme/;Shopping;Book
64;Meme | Definition of Meme by Merriam-Webster;27/08/19;https://www.merriam-webster.com/dictionary/meme#other-words;Reference;Definition
65;MeMe Cocktails – un servizio di bartending itinerante rivolto a ...;NA;https://www.memecocktails.com;Shopping;Cocktails
66;Scarica le migliori 5 app per creare meme con il tuo smartphone;NA;https://blog.linkem.com/app-creare-meme-smartphone/;News;Explanation
67;Meme | NEG - Non è Grindr;NA;https://www.nonegrindr.it/meme/;News;Explanation
68;I miglior meme della stagione 2018/2019 - Onefootball Italia;31/05/19;https://it.onefootball.com/📸-i-miglior-meme-della-stagione-2018-2019/;News;Explanation
69;Meme Exchange, Esperimenti di riuso urbano - Ravenna, Italy;NA;http://www.meme-exchange.eu;Shopping;Furniture
70;Meme Templates - Kapwing;NA;https://www.kapwing.com/meme-templates;Meme generator;Creation
71;MEME Suite: Introduction;NA;http://meme-suite.org;Reference;Explanation
72;Il 2018? L'anno dei meme accelerazionisti di sinistra - Medium;27/12/18;https://medium.com/@simone.robutti/il-2018-lanno-dei-meme-accelerazionisti-di-sinistra-7b4227fed7f6;Blog;Explanation
73;MeMe's Bar and Grille – EAT. DRINK. REPEAT.;NA;http://memesbarandgrille.com;Shopping;Food
74;Car meme, o meme auto: quando le auto ci fanno ridere!;27/10/19;https://www.quotidianomotori.com/automobili/car-meme-o-meme-auto/;News;Explanation
75;MEME - MenoventiMenoventi;NA;https://menoventi.com/meme/;News;Explanation
76;Rihanna Take a Bow Meme Gives Internet Good Cover for …;21/10/19;https://time.com/5706059/rihanna-take-a-bow-meme/;Article;Humor
77;Meme song xd on Spotify;NA;https://open.spotify.com/playlist/760jzfY97OdbmzRSeBulHJ;Social Network;Humor
78;Rise and Shine meme featuring Kylie Jenner is bringing …;17/10/19;https://edition.cnn.com/2019/10/17/entertainment/rise-shine-meme-trnd/index.html;Article;Humor
79;Come fare meme | Salvatore Aranzulla;NA;https://www.aranzulla.it/come-fare-meme-1036909.html;Article;Explanation
80;meme - Traduzione in italiano – Dizionario Linguee;NA;https://www.linguee.it/inglese-italiano/traduzione/meme.html;Vocabulary;Explanation
81;Memeroad;NA;https://memeroad.it/;Shopping;Product
82;meme | Interplanet S.r.l.;22/10/19;https://www.interplanet.it/calendario-2019/meme/;Article;Explanation
83;What Do You Meme? Adult Party Game - U.K. Edition …;NA;https://www.amazon.co.uk/What-Do-You-Meme-Adult/dp/B07C844C3C;Shopping;Product
84;Memes - Urban Dictionary;08/07/19;https://www.urbandictionary.com/define.php?term=Memes;Vocabulary;Definition
85;What Defines a Meme? | Arts & Culture | Smithsonian;10/05/11;https://www.smithsonianmag.com/arts-culture/what-defines-a-meme-1904778/;Article;Explanation
86;Meme Soundboard: Hundreds of Sounds;NA;https://www.memesoundboard.com/;Meme generator/archive;Audiovisual
87;Centro Meme: home;NA;https://www.centromeme.it/;Shopping;Product
88;Meme Appetit (@memeappetit) | Twitter;10/20/2019;https://twitter.com/memeappetit;Social Network;Account
89;MeMe's Diner;NA;https://www.memesdiner.com/;Shopping;Product
90;"14 Best Memes of Kylie Jenner Singing ""Rise and Shine"" to …";17/10/19;https://www.harpersbazaar.com/celebrity/latest/a29491212/kylie-jenner-singing-rise-and-shine-memes/;News;Humor
91;HOME - Istituto Meme, Scuola di Formazione a Modena e …;NA;http://www.istituto-meme.it/;Shopping;Product
92;Baby Sussex, tutti i meme - Vanity Fair;06/05/19;https://www.vanityfair.it/lifestyle/hi-tech/2019/05/06/baby-sussex-tutti-meme;News;Humor
93;Package meme - CRAN;05/08/19;https://cran.r-project.org/web/packages/meme/index.html;Shopping;Explanation
94;How meme culture changed the PSAT | Ars Technica;10/20/2019;https://arstechnica.com/gaming/2019/10/how-meme-culture-changed-the-psat/;Article;Explanation
95;Meme - Aforismi - Meglio.it;NA;https://aforismi.meglio.it/meme-gallery.htm;Blog;Explanation
96;Twitter suspended Carpe Donktum, prolific pro-Trump meme creator, for a copyright violation;14/10/19;https://www.theverge.com/2019/10/14/20914175/twitter-bans-trump-meme-account-carpe-donktum-journalist-video;News;Explanation
97;The Plot Generator Meme;NA;https://www.plot-generator.org.uk/meme/;Meme generator/archive;Creation
98;Best Memes of 2019 (So Far): Most Popular, Viral Memes of ...;10/03/19;https://www.thrillist.com/entertainment/nation/best-memes-2019;Shopping;Humor
99;Meme: significato, cosa sono ed esempi - Inside Marketing;NA;https://www.insidemarketing.it/glossario/definizione/meme/;News;Explanation
100;Free Video, Gif, Image Meme Generator - Offered by Filmora;NA;https://filmora.wondershare.com/meme-maker/;Meme generator/archive;Creation
101;The internet has honked out a ton of Untitled Goose Game ...;24/09/19;https://www.pcgamer.com/the-internet-has-honked-out-a-ton-of-untitled-goose-game-memes-and-art/;Blog;Explanation
102;My beauty during cancer - MÊME;NA;https://www.memecosmetics.fr/en/;Shopping;Product
103;Memes GIFs | Tenor;NA;https://tenor.com/search/memes-gifs;Meme generator/archive;Humor
104;Meme editor Kapwing grows 10X, raises $11M | TechCrunch;24/09/19;https://techcrunch.com/2019/09/24/kapwing/;Blog;Creator
105;Adele posts meme of herself following split from husband | Fox ...;01/05/19;https://www.foxnews.com/entertainment/adele-posts-meme-of-herself-amid-split-from-husband;News;Humor
106;Meme Generator - Make a Meme;NA;https://makeameme.org/memegenerator;Meme generator/archive;Creation
107;Ristorante MEME - Meat & Fish;NA;http://www.ristorantememe.it/;Shopping;Product
108;Meme generator. Create the funniest memes online. - iLoveIMG;NA;https://www.iloveimg.com/meme-generator;Meme generator/archive;Creation
109;MemeWorld: Recent Memes;NA;https://www.memeworld.com/;Meme generator/archive;Humor
110;Oh, you like memes? Name all of them. - Mashable;19/10/19;https://mashable.com/article/oh-you-like-meme-twitter/?europe=true;Blog;Humor