Image,Genre,Category,Censorship,Number,Facebook,Type of Censorship,Notification,Reason,Tumblr,Type of Censorship,Notification,Reason,Instagram,Type of Censorship,Notification,Reason,Twitter,Type of Censorship,Notification,Reason,Vkontakte,Type of Censorship,Notification,Reason,Pinterest,Type of Censorship,Notification,Reason,Linkedin,Type of Censorship,Notification,Reason,Tagged,Type of Censorship,Notification,Reason,The Dots,Type of Censorship,Notification,Reason,WeHeartIt,Type of Censorship,Notification,Reason,DeviantArt,Type of Censorship,Notification,Reason,Flickr,Type of Censorship,Notification,Reason,Vero,Type of Censorship,Notification,Reason,Spreely,Type of Censorship,Notification,Reason,,,,,,
1_W,Woman,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
2_W,Woman,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
3_W,Woman,Body Hair,Yes,2,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
4_W,Woman,Body Hair,Yes,2,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Mature Content,No,,,,No,,,,No,,,,No,,,,,,,,,
5_W,Woman,Menstruation,Yes,1,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,No,Mature Content,No,,,,No,,,,No,,,,No,,,,,,,,,
6_W,Woman,Suggestive Object,Yes,1,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
7_W,Woman,Exposed Body,Yes,3,No,,,,Yes,Hidden Image,Yes,Mature Content,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
8_W,Woman,Exposed Body,Yes,2,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
9_W,Woman,Exposed Body,Yes,5,Yes,Removed Image,Yes,Mature Content,Yes,Hidden Image,Yes,Mature Content,Yes,Removed Image,Yes,Mature Content,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
10_W,Woman,Exposed Body,Yes,2,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
11_W,Woman,Exposed Body,Yes,3,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,No,Not Declared,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
12_W,Woman,Suggestive Object,Yes,1,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
13_W,Woman,Suggestive Object,Yes,1,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
14_W,Woman,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
15_W,Woman,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
16_W,Woman,Body Type,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
17_W,Woman,Body Type,Yes,2,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Mature Content,No,,,,No,,,,No,,,,No,,,,,,,,,
18_W,Woman,Body Type,Yes,2,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
1_M,Man,Body Type,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
2_M,Man,Body Type,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
3_M,Man,Exposed Body,Yes,4,Yes,Removed Image,Yes,Mature Content,Yes,Hidden Image,Yes,Mature Content,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
4_M,Man,Exposed Body,Yes,6,Yes,Removed Image,Yes,Mature Content,Yes,Hidden Image,Yes,Mature Content,Yes,Removed Image,Yes,Mature Content,Yes,Warning Image,No,Sensitive Content,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,Yes,Removed Image,No,Violation,No,,,,No,,,,No,,,,No,,,,,,,,,
5_M,Man,Exposed Body,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
6_M,Man,Exposed Body,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
7_M,Man,Suggestive Object,Yes,1,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,Yes,Removed Image,Yes,Violation,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
8_M,Man,Suggestive Object,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
9_M,Man,Suggestive Object,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
10_M,Man,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
11_M,Man,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
12_M,Man,Body Hair,No,0,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
