Order,App,scam,scams,scammer,scammers,scamming,"scam" group,bot,bots,spam,spammers,"bot" group,fake accounts,fake profile,fake profiles,fake user,fake users,fakes,stolen,"fake" group
1,Ship,0,0,0,0,0,0,0,4,0,0,4,0,0,5,0,0,2,0,7
2,Tinder,4,1,0,0,0,5,0,4,3,0,7,1,0,0,0,0,0,1,2
3,Bumble,5,1,0,1,0,7,3,3,0,0,6,0,0,4,0,0,1,1,6
4,Hinge,5,0,1,6,0,12,0,1,1,0,2,0,0,6,0,1,2,0,9
5,OkCupid,3,0,0,5,0,8,0,2,3,0,5,0,0,6,1,1,1,0,9
6,CoffeeMeetsBagel,4,1,0,3,0,8,0,0,0,0,0,0,0,5,0,0,1,1,7
7,HER,0,1,0,4,0,5,0,1,0,1,2,0,0,2,0,1,1,0,4
8,muzmatch,5,1,0,2,0,8,0,1,0,0,1,0,0,3,0,0,0,0,3
9,Match,5,0,0,2,0,7,1,0,2,0,3,2,0,5,0,0,0,0,7
10,Zoosk,6,1,0,6,0,13,1,1,0,0,2,0,0,12,0,0,0,1,13
11,Clover,9,2,0,6,0,17,1,13,6,1,21,0,0,7,1,0,2,0,10
12,happn,1,0,0,0,0,1,0,2,0,0,2,0,0,3,0,2,1,0,6
13,Badoo,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
14,PlentyofFish,15,13,1,10,2,41,1,16,5,0,22,6,3,22,0,1,4,0,36
15,eharmony,10,0,0,2,0,12,1,0,0,0,1,0,0,2,0,0,1,0,3