Order,App,scam,scams,scammer,scammers,scamming,"scam" group,bot,bots,spam,"bot" group,fake accounts,fake profile,fake profiles,fake user,fakes,"fake" group
1,Dating Around,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Badoo,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1
3,OkCupid,0,0,1,2,0,3,0,0,0,0,0,1,1,0,0,2
4,Hinge,1,0,0,0,0,1,1,0,1,2,1,0,1,0,0,2
5,Tinder,1,0,0,1,0,2,1,1,0,2,2,0,1,0,0,3
6,Plenty of Fish,5,3,0,6,1,15,1,12,5,18,3,2,9,0,1,15
7,Bumble,0,0,0,0,0,0,3,2,0,5,1,0,2,0,0,3
8,happn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Hily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Free Dating App & Flirt Chat,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
11,Tagged,0,1,0,2,0,3,0,1,0,1,0,0,0,0,0,0
12,Heyyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Mingle2,0,1,0,1,0,2,0,1,0,1,1,0,0,0,0,1
14,Clover,0,0,1,2,0,3,1,5,1,7,1,0,1,0,2,4
15,Waplog,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1